workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,test1,dialect,test3,lived,language,enjoyment,gender,age,describe,comments,years,proficiency,asses,test2,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,TV,masculine,furniture,13,wooden,small,material,0,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,apple,feminine,food,14,good,old,quality,0,age,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,couch,feminine,furniture,15,red,soft,color,1,texture,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,apple,feminine,food,16,old,short,age,0,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,banana,feminine,food,17,purple,big,color,1,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,chair,masculine,furniture,18,wooden,long,material,1,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,couch,feminine,furniture,19,soft,brown,texture,1,color,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,chair,masculine,furniture,20,yellow,small,color,1,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,fan,feminine,furniture,21,big,bad,size,0,quality,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,desk,masculine,furniture,22,blue,small,color,0,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,desk,masculine,furniture,23,old,wooden,age,0,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,cheese,masculine,food,24,red,round,color,1,shape,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,couch,feminine,furniture,25,fresh,long,age,0,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,fan,feminine,furniture,26,wooden,bad,material,0,quality,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,couch,feminine,furniture,27,smooth,blue,texture,0,color,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,chair,masculine,furniture,28,short,yellow,size,0,color,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
1,couch,feminine,furniture,3,bad,short,quality,0.77,size,correct,saudi,correct,both,العربية,1,Female,24,arabic-arabic,,5+,basic,Yes,correct,3,Linux,800,1280,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3KGTPGBS6YHBL0D1Q9K4IS6MI782U9,1,Approved,Fri Feb 15 10:02:41 PST 2019,Thu Feb 14 17:16:55 PST 2019,Thu Feb 14 17:22:41 PST 2019,Fri Feb 15 10:03:25 PST 2019,,,,,[],5.61305
